CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F105,F168,F169,F170,F171,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183
,,,,,Age : Age 100 and over - Unit : Persons,Age : Age 0 to 4 - Unit : Persons,Age : Age 5 to 7 - Unit : Persons,Age : Age 8 to 9 - Unit : Persons,Age : Age 10 to 14 - Unit : Persons,Age : Age 16 to 17 - Unit : Persons,Age : Age 18 to 19 - Unit : Persons,Age : Age 20 to 24 - Unit : Persons,Age : Age 25 to 29 - Unit : Persons,Age : Age 30 to 44 - Unit : Persons,Age : Age 45 to 59 - Unit : Persons,Age : Age 60 to 64 - Unit : Persons,Age : Age 65 to 74 - Unit : Persons,Age : Age 75 to 84 - Unit : Persons,Age : Age 85 to 89 - Unit : Persons,Age : Age 90 and over - Unit : Persons
8790,S13002552,The Ferry ,Wards and Electoral Divisions,WED,2,890,563,360,1069,428,371,808,827,3404,4196,1445,2301,1854,510,236
8791,S13002553,Annick ,Wards and Electoral Divisions,WED,1,705,430,259,735,297,276,709,615,2498,2753,934,1223,655,127,71
8792,S13002554,Kilmarnock North ,Wards and Electoral Divisions,WED,3,967,577,350,807,350,362,767,786,3033,2672,716,749,423,124,70
8793,S13002555,Kilmarnock West and Crosshouse ,Wards and Electoral Divisions,WED,2,746,414,254,728,333,327,1051,1017,3127,3434,1008,1540,1074,313,149
8794,S13002556,Kilmarnock East and Hurlford ,Wards and Electoral Divisions,WED,1,774,443,345,866,394,409,936,871,2987,3047,1050,1711,867,167,87
8795,S13002557,Kilmarnock South ,Wards and Electoral Divisions,WED,0,716,414,221,643,272,281,714,726,2072,2353,661,925,814,141,65
8796,S13002558,Irvine Valley ,Wards and Electoral Divisions,WED,0,711,428,266,866,383,375,866,808,2894,3453,1098,1545,806,169,103
8797,S13002559,Ballochmyle ,Wards and Electoral Divisions,WED,1,802,446,247,798,412,394,930,787,2743,3280,1076,1555,928,155,92
8798,S13002560,Cumnock and New Cumnock ,Wards and Electoral Divisions,WED,0,731,395,299,791,386,355,872,791,2688,3217,1021,1498,906,184,77
8799,S13002561,Doon Valley ,Wards and Electoral Divisions,WED,3,610,366,240,692,295,299,669,585,2170,2392,784,1169,631,139,55
8800,S13002562,Milngavie ,Wards and Electoral Divisions,WED,2,658,446,270,814,375,306,624,430,2226,3114,929,1401,1081,269,117
8801,S13002563,Bearsden North ,Wards and Electoral Divisions,WED,2,674,492,354,943,389,326,652,430,2406,3191,1006,1506,962,257,109
8802,S13002564,Bearsden South ,Wards and Electoral Divisions,WED,4,589,458,276,792,307,310,660,460,2161,3161,1023,1557,1039,231,114
8803,S13002565,Campsie and Kirkintilloch North ,Wards and Electoral Divisions,WED,3,633,331,233,678,291,301,728,661,2258,2784,837,1161,698,182,95
8804,S13002566,Bishopbriggs North and Torrance ,Wards and Electoral Divisions,WED,1,635,420,306,879,411,375,846,491,2232,3533,954,1637,1215,202,59
8805,S13002568,Lenzie and Kirkintilloch South ,Wards and Electoral Divisions,WED,2,651,462,272,791,372,358,771,591,2380,3193,1047,1459,855,187,67
8806,S13002569,Kirkintilloch East and Twechar ,Wards and Electoral Divisions,WED,2,749,464,272,771,358,373,885,692,2384,2841,805,1127,671,136,48
8807,S13002570,Musselburgh West ,Wards and Electoral Divisions,WED,2,520,289,184,538,240,230,661,570,2143,2437,709,928,657,152,72
8808,S13002571,Musselburgh East and Carberry ,Wards and Electoral Divisions,WED,1,892,450,247,841,454,809,1178,903,2778,2839,784,1058,778,222,98
8809,S13002572,Preston / Seton / Gosford ,Wards and Electoral Divisions,WED,3,1061,565,377,1023,428,404,943,949,3497,3852,1181,1742,972,241,80
8810,S13002573,Fa'side ,Wards and Electoral Divisions,WED,3,1305,699,403,1062,466,417,967,954,3915,3999,1123,1597,971,194,103
8811,S13002574,North Berwick Coastal ,Wards and Electoral Divisions,WED,2,587,429,266,831,333,210,369,339,2087,2875,913,1545,1088,315,167
8812,S13002575,Haddington and Lammermuir ,Wards and Electoral Divisions,WED,7,728,473,297,753,332,271,598,559,2438,3109,789,1343,791,181,99
8813,S13002576,Dunbar and East Linton ,Wards and Electoral Divisions,WED,5,832,538,324,850,327,269,576,531,2629,3010,932,1282,804,178,105
8814,S13002577,"Neilston, Uplawmoor and Newton Mearns North ",Wards and Electoral Divisions,WED,6,1109,721,487,1357,548,473,1058,747,3528,4357,1079,1447,839,229,163
8815,S13002578,Barrhead ,Wards and Electoral Divisions,WED,0,992,589,367,1087,458,471,1191,965,3430,3919,1057,1578,1002,211,84
8816,S13002579,Giffnock and Thornliebank ,Wards and Electoral Divisions,WED,5,712,494,288,877,378,351,813,560,2348,3231,901,1300,1140,345,185
8817,S13002580,"Netherlee, Stamperland and Williamwood ",Wards and Electoral Divisions,WED,3,796,524,385,946,410,304,648,393,2429,3229,836,1270,873,197,97
8818,S13002581,Newton Mearns South ,Wards and Electoral Divisions,WED,2,576,454,349,910,381,311,612,343,2047,2891,929,1434,1011,234,91
8819,S13002582,"Busby, Clarkston and Eaglesham ",Wards and Electoral Divisions,WED,3,799,525,375,954,403,378,763,520,2559,3254,890,1336,895,228,91
8820,S13002583,Almond ,Wards and Electoral Divisions,WED,3,1499,967,608,1572,630,526,1038,1034,4853,5627,1711,2443,1665,384,152
8821,S13002584,Pentland Hills ,Wards and Electoral Divisions,WED,5,1261,734,545,1429,645,1103,1682,1146,4220,5031,1685,2197,1361,275,118
8822,S13002585,Drum Brae / Gyle ,Wards and Electoral Divisions,WED,1,1273,641,400,1161,534,490,1252,1315,4412,5096,1322,1927,1573,424,164
8823,S13002586,Forth ,Wards and Electoral Divisions,WED,4,2601,1188,737,1829,736,821,2212,2898,7740,6267,1599,2184,1476,347,190
8824,S13002587,Inverleith ,Wards and Electoral Divisions,WED,5,1572,754,520,1472,745,517,1754,2798,7231,6241,1735,2535,1985,596,313
8825,S13002588,Corstorphine / Murrayfield ,Wards and Electoral Divisions,WED,15,1333,654,431,1133,515,390,1156,1458,4540,4938,1428,2037,1852,536,294
8826,S13002589,Sighthill / Gorgie ,Wards and Electoral Divisions,WED,3,2261,920,574,1486,592,1008,4151,5048,9157,5884,1765,2311,1360,309,169
8827,S13002590,Colinton / Fairmilehead ,Wards and Electoral Divisions,WED,5,1519,836,583,1538,754,506,1173,1060,4454,5515,1635,2171,1573,399,143
